pID|ProjectName|ProjectTeam|ProjectOwner|ProjectDescription|ProjectCategoryId
1|Planning|Jessica Burns,TIMOTHY Murphy,Steven Canedy,Gerald SIDOTI|Alesha Pasternak|Workforce and Financial planning, reporting and analysis.|1
2|slutions meeting|TIMOTHY Murphy,Steven Canedy,Gerald SIDOTI,MIKE Cohen|Sung Mijangos|Tax, Payment and Compliance Solution meeting|1
3|Travel planning|Steven Canedy,Gerald SIDOTI,MIKE Cohen,Brooks Santangelo|Phyliss Barrette| Travel Management is a provider of travel management solutions, specializing in corporate, government, and NGO travel|1
4|Risk monitoring|Gerald SIDOTI,MIKE Cohen,Brooks Santangelo,Robert Delise|Suk Bunn|firm review using analytics workspace|1
5|Registration|MIKE Cohen,Brooks Santangelo,Robert Delise,Vilen Gordon|Eliz Dewall|reporting of registration statistics|1
6|Document management|Brooks Santangelo,Robert Delise,Vilen Gordon,David Chamorro|Alesia Palazzo|Record management policy initiative|1
7|Member support|Robert Delise,Vilen Gordon,David Chamorro,Douglas Martinez|Yvone Mattioli|call routing, queueing, and reporting of phone calls into COMPANY's call centers. |1
8|Trade Info|Vilen Gordon,David Chamorro,Douglas Martinez,Tim Saiz|Damon Hiatt|Dark Pools (Alternative Trading Systems) conference|1
9|Billing|David Chamorro,Douglas Martinez,Tim Saiz,WILMARC Vienot|Mirna Rothstein|Calculate and bill Sales Tax on COMPANY invoices, evaluate and estimate Use Tax.|1
10|Risk monitoring|Douglas Martinez,Tim Saiz,WILMARC Vienot,John Chevez|Marvel Dorton| evaluate and determine market risk in various portfolios with CUSIPs|1
11|Human Resources|Tim Saiz,WILMARC Vienot,John Chevez,Justin Kapadia|Chrystal Estill|HR Benefit analysis |1
12|Communication|WILMARC Vienot,John Chevez,Justin Kapadia,Robert Basalik|Carson Endsley|Business JIRA request tracking|1
13|Communication|John Chevez,Justin Kapadia,Robert Basalik,Douglas Giarratano|Don Engen|Business Wiki discussions|1
14|Reporting|Justin Kapadia,Robert Basalik,Douglas Giarratano,Randi Linn|Meridith Neuner|Bluesheets analysis reporting|1
15|Trade Info|Robert Basalik,Douglas Giarratano,Randi Linn,Thomas Bennett|Clotilde Yawn|Single Bluesheets System (formerly Insider2)|1
16|Regulation|Douglas Giarratano,Randi Linn,Thomas Bennett,William Powell|Estela Mortensen|BD-IA guidelines|1
17|Trade Info|Randi Linn,Thomas Bennett,William Powell,JOSEPH Farrington|Valentin Wisdom|Provide bond and trade data from TRACE to the public.|1
18|RSA|Thomas Bennett,William Powell,JOSEPH Farrington,William Beardsley|Archie Staudt|Boston Options Exchange|1
19|Trade Info|William Powell,JOSEPH Farrington,William Beardsley,Diane Leisure|Berneice Rall|COMPANY BrokerCheck|1
20|Support|JOSEPH Farrington,William Beardsley,Diane Leisure,Phyllis bailey|Pok Christner|Call Detail Records|1
21|Reporting|William Beardsley,Diane Leisure,Phyllis bailey,ANTHONY Cordier|Nettie Quiroz|Consolidation Automation Reporting Tool|1
22|Human Resources|Diane Leisure,Phyllis bailey,ANTHONY Cordier,FRANCES Clark|Sabine Picklesimer|Performance review tracking|1
23|Evaluate Trade data|Phyllis bailey,ANTHONY Cordier,FRANCES Clark,George Hays|Clelia Etheridge|main products wiki for market regulation|1
24|Reporting|ANTHONY Cordier,FRANCES Clark,George Hays,Noelle Eaton|Sherita Rickenbacker|update  Data Dissemination & reporter portal|1
25|Testing|FRANCES Clark,George Hays,Noelle Eaton,JEFFREY chan|Modesta Sistrunk|JIRA instance for  UAT|1
26|Data Analytics|George Hays,Noelle Eaton,JEFFREY chan,Douglas Voyles|Delisa Penrod|utilize analytics and visualization tools for  NMS. It will include Market Replay and Volume Concentration.|1
27|Data Analytics|Noelle Eaton,JEFFREY chan,Douglas Voyles,Leslie MALONE|Jeanna Henault|CBOE-Analytics|1
28|Human Resources|JEFFREY chan,Douglas Voyles,Leslie MALONE,Gregory Madurski|Lyndon Simien|Code of Conduct Compliance System|1
29|Continuing Education|Douglas Voyles,Leslie MALONE,Gregory Madurski,Katherine Prussman|Elvira Barbeau|Continuing Education Authoring Tool|1
30|Communication|Leslie MALONE,Gregory Madurski,Katherine Prussman,Denise Vander Ark|Kristin Campion|Used for bridge lines, operator conference calls, webex, circuits.|1
31|Continuing Education|Gregory Madurski,Katherine Prussman,Denise Vander Ark,Ronald Harsche|Sherill Blackwater|Continuing Education Online content|1
32|Rules|Katherine Prussman,Denise Vander Ark,Ronald Harsche,Linda Zimmerman|Henry Lobato|SEC rules updates|1
33|Human Resources|Denise Vander Ark,Ronald Harsche,Linda Zimmerman,Samuel Weiss|Heidi Layton|Conflict of Interest Certification System|1
34|Facilities management|Ronald Harsche,Linda Zimmerman,Samuel Weiss,John Petit|Carma Woolfolk|Powerful, dynamic interface enabling users to monitor and control their facilities from anywhere, at any time.|1
35|Human Resources|Linda Zimmerman,Samuel Weiss,John Petit,Adam Phillips|Lakeesha Myhre|Recognition and rewards program|1
36|Travel planning|Samuel Weiss,John Petit,Adam Phillips,Karen SIMMONS|Tamie Matthies|Premier Travel and Expense System|1
